zpid,bed,bath,sqft,street,city,state,overview,images,price
18743938,3,2.0,2010.0,E Brown Ave,Fresno,CA,"Great affordable home. Over 2000 sq ft of living space. 3 bedroom, 2 bath with swimming pool on large lot. Kitchen features built-in range, oven, dishwasher, breakfast bar and spacious eating area. Family room with cozy fireplace and separate large living room. Laundry room is located right off the kitchen. Dual pane windows. Bath next to kitchen has been updated. Hall bath has not been updated. Backyard with covered patio, grassy area and sparkling pool for outdoor enjoyment. Inside needs TLC - great potential. Small room off master bedroom with inoperable spa. Would be ideal for extra closet or office. Seller wants to sell in AS IS condition No repairs!. Will not go FHA or VA in current condition. Easy access to freeway, airport, shopping and transportation.",https://photos.zillowstatic.com/fp/2f3c908a017ffd659c12474c50c9845c-cc_ft_960.jpg https://photos.zillowstatic.com/fp/34dfc2ff5e429134bf190f83c2102231-cc_ft_960.jpg https://photos.zillowstatic.com/fp/49cf82d3de26e66a1cad0e6fa86d67a2-cc_ft_960.jpg,0.325
18746509,3,2.0,1634.0,N Safford Ave,Fresno,CA,"Here is your opportunity to own this adorable Tower District home. From the moment you arrive, you will start to notice the charm this home has to offer. The nicely landscaped front yard, inviting front porch and backdrop of large shade trees contribute to the lovely curb appeal. The living area features hardwood flooring, plantation shutters, recessed lighting, designer tile fireplace with living edge mantle and tons of natural light. As you continue through the dining area and into the kitchen, you'll quickly recognize how comfortably spacious this home feels. The kitchen includes two tone paint, large pantry, gas range and views into the backyard. Although this home has been updated, it still embraces some of the timeless features you desire from a vintage home. This home is equipped with dual pane windows and central heat & air. There is a partial basement that is accessed through the large utility room. The backyard offers a wood deck patio, grass area and long driveway which leads to the detached garage. Imagine living within a short walk to the restaurants, pubs, shops and entertainment Tower District has to offer. This home is a must see! Schedule your private showing today.",https://photos.zillowstatic.com/fp/20f35e7582d25bb797994269abf10fb7-cc_ft_960.jpg https://photos.zillowstatic.com/fp/af5e2f935ff3658879c48de706af1e70-cc_ft_960.jpg https://photos.zillowstatic.com/fp/7f870124aebefb0c76667cbb6e1a00b4-cc_ft_960.jpg,0.3899
18748608,3,2.0,858.0,E Hedges Ave,Fresno,CA,"Welcome to this Charming home ready for new owners! Home located minutes from HWY 41,HWY 180 and can be a perfect starter home. This home has been remodeled in the recent past. Upon entering, you'll find laminate flooring extending throughout the entire home. The kitchen feature extra- large sink, a quarts countertops, and a beautiful tile. The backyard is generously spacious, providing ample room for various uses such as storing big toys, RV, and more.No apt available until Open House 6/17/2023 11-3pm",https://photos.zillowstatic.com/fp/c260b15f801dfbd4c6d73ee42891c13c-cc_ft_960.jpg https://photos.zillowstatic.com/fp/a87e9be1ff0ce0ff4725aae5dd45c8ec-cc_ft_960.jpg https://photos.zillowstatic.com/fp/a644c9aca6f5f22bf2b60909fd33aa8d-cc_ft_960.jpg,0.26
18753519,3,2.0,1386.0,E White Ave,Fresno,CA,"This wonderful three bedroom, two bath home is clean and move in ready! You will love the large lot with sparking pool. The floor plan boasts two spacious living room areas, a sizable kitchen with ample cabinet/counter space and a dining area. Both the family room and primary connected bathroom have access to the covered patio area in the backyard near the pool. The home's convenient location is close to freeway access, restaurants and shops. Call today to schedule your private tour.",https://photos.zillowstatic.com/fp/3a59f92b7031e7979483468ce0b13c96-cc_ft_960.jpg https://photos.zillowstatic.com/fp/f76912e21b45cd006642c43d991e9ce8-cc_ft_960.jpg https://photos.zillowstatic.com/fp/104621bf2bb1c3af482a956eeb4300f0-cc_ft_960.jpg,0.325
18753708,3,1.0,1326.0,N Teilman Ave,Fresno,CA,"First time buyer with 3bedroom, 1 bathroom.",https://photos.zillowstatic.com/fp/931e529a3cc513df8e9d504c64942cdc-cc_ft_960.jpg https://photos.zillowstatic.com/fp/931e529a3cc513df8e9d504c64942cdc-cc_ft_960.jpg https://www.zillowstatic.com/s3/hdp/home-details/images/video-tile-placeholder.jpg,0.26
18754172,3,2.0,1189.0,E Grant Ave,Fresno,CA,Listed by:,https://photos.zillowstatic.com/fp/629e8347365fd6a47fcd98eb033e2575-cc_ft_960.jpg https://photos.zillowstatic.com/fp/629e8347365fd6a47fcd98eb033e2575-cc_ft_960.jpg https://www.zillowstatic.com/s3/hdp/home-details/images/video-tile-placeholder.jpg,0.264
18755483,3,1.0,988.0,E Washington Ave,Fresno,CA,"Well stablished neighborhood close to shopping and freeways to all directions,Home has been completely remodeled in the past two years.",https://photos.zillowstatic.com/fp/720330dd9befe426af784c3fc099ab14-cc_ft_960.jpg https://photos.zillowstatic.com/fp/cdae226343397aec2904f66462df9469-cc_ft_576.jpg https://photos.zillowstatic.com/fp/fc60301373bcd769254d7171786664a5-cc_ft_576.jpg https://photos.zillowstatic.com/fp/364fcb49247c0cfb3eed434d2fc1db59-cc_ft_576.jpg https://photos.zillowstatic.com/fp/d3e3ec43ec46da3e0eb01f6824a7b632-cc_ft_576.jpg,0.259
18758806,3,3.0,2820.0,E Madison Ave,Fresno,CA,"Large Family Home, just over 2,800 Sq. Ft. of Living Space!! Huge Corner Lot, 16,200 Sq. Feet!!This home has 3 bedrooms and 2 baths, with a bonus room that can be used as an office or optional 4th bedroom. Large utility room / shop in the back of the house that has water and electricity.Paid in Full Solar!! Must see to appreciate the potential. Schedule your showing today!",https://photos.zillowstatic.com/fp/5cbfd847ca7ae03f0d36d5c475856e88-cc_ft_960.jpg https://photos.zillowstatic.com/fp/593bcfab4f26d5da087ada8f32cb4736-cc_ft_576.jpg https://photos.zillowstatic.com/fp/606c6450ce66d425d862286708bbad31-cc_ft_576.jpg https://photos.zillowstatic.com/fp/cd110172aae08734f756d26cb6b81138-cc_ft_576.jpg https://photos.zillowstatic.com/fp/bf32fc02aea12fae2cdea090f3fa9ed3-cc_ft_576.jpg,0.422
18759143,3,2.0,1398.0,N Adler Ave,Fresno,CA,"GREAT HOME! MANY EXTRAS!If you need room, this is it. The convenience of the city with a country size lot. 1/3 of an acre with a 2-car garage third garage made into a room. There are 2 custom built Tuff Sheds. Plenty of excess land all fenced for the man toys and room for the kids to roam. Citrus trees MUST SEE to BELIEVE!!!!",https://photos.zillowstatic.com/fp/899cf620a6dd49c28aca7e392f145eef-cc_ft_960.jpg https://photos.zillowstatic.com/fp/8530bde0dbff74ce8e519262149624a8-cc_ft_576.jpg https://photos.zillowstatic.com/fp/cc79e2762cf69718fcf88da6c33e180b-cc_ft_576.jpg https://photos.zillowstatic.com/fp/a2153927b2a001490ed80292eb228804-cc_ft_576.jpg https://photos.zillowstatic.com/fp/d4ba805cd3e15c3a1aa25f9b906b220e-cc_ft_576.jpg,0.39
18761424,3,3.0,1392.0,W Myers Avenue,Fresno,CA,"Here it is!! This is a great opportunity for the home owner or investor. This home has been completely remodeled. Essentially 3 separate units under one roof. The main part of the house is a 2 bedroom 1 bath that includes the refrigerator and a new HVAC unit. The garage was a living room at one time but has been converted to a studio apartment complete with it's own bathroom and kitchen. The kitchen has a sink and a 2 burner hot plate. It is heated and cooled by a new split HVAC unit. There was a secondary living room at the back of the house that was converted to a studio apartment with it's own kitchen and bathroom. The kitchen has a sink and the unit has it's own HVAC split unit for heating and cooling. All three have their own entrances. The entire home has new laminate flooring, tile flooring in the bathroom. All new dual pane windows and blinds. All cabinets and countertops, light fixtures, fans with remotes are new. Fresh interior and exterior paint as well. Nielsen Park across the street & Edison Bethune Charter School withing walking distance. This is a corner lot with an alley in the back.",https://photos.zillowstatic.com/fp/5d0222d12bc941438569c035fd492fec-cc_ft_960.jpg https://photos.zillowstatic.com/fp/a54bdfb03f805c86ddc4fa3b455dec0f-cc_ft_960.jpg https://photos.zillowstatic.com/fp/db7a13be3ead0bc89471d9517c348286-cc_ft_960.jpg,0.255
18762728,3,1.0,1469.0,Collins Ave,Fresno,CA,"You will love this 100 year old move-in ready 3 bedroom, 1 bathroom family home with modern updates located within waling distance to Kearney Triangle Neighborhood Park. Upon entry, you are greeted by a large living room with a fireplace and wood-like flooring that leads you to a large dining area with a second fireplace, built-in cabinetry, and lots of natural light. The kitchen has been updated throughout with granite countertops and stainless-steel appliances. Enjoy an extra-large backyard that is ready for it's new owner to create the backyard of your dreams! Don't miss your opportunity to call this wonderful family house your new home! Call to schedule a private tour today.",https://photos.zillowstatic.com/fp/29e7b712e489df0f767513dc43089929-cc_ft_960.jpg https://photos.zillowstatic.com/fp/83db9847fa5ccaaaa9ceacfd18ac7d76-cc_ft_960.jpg https://photos.zillowstatic.com/fp/9032a2acf85b8209cf3ecb40483670d4-cc_ft_960.jpg,0.275
18767964,3,2.0,2950.0,E Heaton Ave,Fresno,CA,"This was once a spacious luxurious Sunnyside home but is now priced as a fixer upper ready for an entrepreneurial flipper. Floorplan is very open, with large formal LR/DR, open Kitchen and a huge lanai/family room with glass all around. Some of the interior sheet rock has been removed and walls taken down to the studs. Backyard features a large covered patio w/builtin BBQ, freestanding stove and Gazebo/bar. Opportunity here to restore this home to it's former grandeur.Some portion of the square footage may have been added.  Tax records indicate 2,572 square feet. Previous agents have measured at 2950 and 3182 sq ft. If square footage is important to buyer, buyer should verify size independently.",https://photos.zillowstatic.com/fp/06ac61834c116b8c5a9c865d2b69e02e-cc_ft_960.jpg https://photos.zillowstatic.com/fp/0493467a83438e122c2ebc588047c6b2-cc_ft_960.jpg https://photos.zillowstatic.com/fp/03bcebb584d8f76368b0b69ea95f70d0-cc_ft_960.jpg,0.25
18768623,5,3.0,2345.0,E Park Circle Dr,Fresno,CA,"Come check out this fabulous Sunnyside home sitting on over 1/2 acre with 4 bedrooms downstairs and 1 upstairs. Living room features crown molding and cozy fireplace with French doors leading to the spacious 456 sq.ft. sunroom, recently added in 2022 with permits ($28k addition). It's a great space to host friends and family and create cherished memories! Kitchen was recently upgraded in 2021 with granite countertops, new cabinets, tile floors, walk in pantry. Hallway bathroom has been renovated with new vanity and tile flooring. Upstairs room can be used as a game room, office, or private bedroom with half bath and walk in closet. Laundry room located inside with shelves for extra storage. Enjoy BBQing and hosting large gathering outside in the covered patio and open grass area. Backyard includes mature landscaping and citrus trees: orange, grapefruit, and lemon trees. Tucked in the back, there's a shop 17 x 40 for additional storage, can be accessed from side gate as well. Extensive driveway with carport and RV parking or boat parking, ample space for your vehicles and storage needs. There's so much to see. Schedule your appointment today!",https://photos.zillowstatic.com/fp/e13f8ad922c997ff8df4f8fa06a932fc-cc_ft_960.jpg https://photos.zillowstatic.com/fp/a4c17d91b5cc1d06c0c264f14d76eaa2-cc_ft_576.jpg https://photos.zillowstatic.com/fp/591b7782e699c43b0dcaf966b17cb21d-cc_ft_576.jpg https://photos.zillowstatic.com/fp/94a0e5b9df7b9a5c359ddbae34903f31-cc_ft_576.jpg https://photos.zillowstatic.com/fp/6edc5fa372bdedcaa428f3e883f789a0-cc_ft_576.jpg,0.61
18769004,3,2.0,1890.0,S Clovis Ave,Fresno,CA,"This 3 bedroom condo located within the Crown Chateau Community is move in ready! The home features Granite counter tops, a large living room, dining room, 3 spacious bedrooms and a corner unit! The home is close to shopping, restaurants, Sunnyside country club and freeway access. Schedule your showing today!",https://photos.zillowstatic.com/fp/28dfb86c336d5f67b4100d4cf344be74-cc_ft_960.jpg https://photos.zillowstatic.com/fp/a4eb1f2c6f14ecb9b606d3c65e210a82-cc_ft_576.jpg https://photos.zillowstatic.com/fp/2da1e895e9c9f1fc1ea02902c7f47ec6-cc_ft_576.jpg https://photos.zillowstatic.com/fp/0f841f50c79df5fcaf7c36bea315338b-cc_ft_576.jpg,0.305
18769285,3,1.0,750.0,W Kaviland Ave,Fresno,CA,3 bedroom 1 bath house big big lot w entrance to the back yard,https://photos.zillowstatic.com/fp/58855a690e0dd82d536815a2b3fa9643-cc_ft_960.jpg https://photos.zillowstatic.com/fp/838696e5992c2d56f36a0f9cba9a2617-cc_ft_576.jpg https://photos.zillowstatic.com/fp/353dc9c2abbecf3fc91c0dc1cebc2190-cc_ft_576.jpg https://photos.zillowstatic.com/fp/6e47dfa97fb00e6fc36d2a7e03ea69b0-cc_ft_576.jpg https://photos.zillowstatic.com/fp/68ebaeae3ddf2e085ce86ae6f93caace-cc_ft_576.jpg,0.225
18771790,3,2.0,1408.0,S Page Ave,Fresno,CA,"Walk through the front door into a large open living room;  this 3 bedroom and 1.5 baths is in amazing condition. Natural morning light spills through east facing windows. They do not make them like this any more my grandmother would say. All 3 bedrooms are very nicely sized there is room for 2 beds and more and seen in the pictures. The large patio in the back is great for the hot summers and family gatherings. The roof, HVAC and windows are all newer. The garage is SUPER oversized. Did not notice the nice iron gate at the entrance? All of the heavy lifting has been done and the house has been tastefully upkeep. There is not much for you other than move in.This is absolutely a must-see on your list; all you need to do is move in.",https://photos.zillowstatic.com/fp/c9b2b3c14528148b5a2555c4b3d3943f-cc_ft_960.jpg https://photos.zillowstatic.com/fp/b134f822746a0b2c2e4fc14429726706-cc_ft_960.jpg https://photos.zillowstatic.com/fp/8d83274723a743721687bb113f1069ca-cc_ft_960.jpg,0.28
18775898,3,1.0,1146.0,E Pontiac Way,Fresno,CA,This ranch style house is located within the award winning Clovis Unified School District. The kitchen has electric appliances and a breakfast nook. The living area has a large sliding window facing the backyard. The 3 bedroom 1 bathroom home has central heat and cool. The backyard has potential RV parking.,https://photos.zillowstatic.com/fp/7cb67ab816bb6f7efd11ea8991e24a79-cc_ft_960.jpg https://photos.zillowstatic.com/fp/a285f17cd2f9ed780ad5cb6b67cdcd1d-cc_ft_960.jpg https://photos.zillowstatic.com/fp/9780a831111d1f453c78cf200de979ad-cc_ft_960.jpg,0.299
18785576,3,2.0,1694.0,W Fallbrook Ave,Fresno,CA,"Come see this beautifully maintained property located in North West Fresno in the McCaffrey Community. This home has 3 bedrooms and 2 bathrooms. The home is very well maintained in its original condition. The vaulted ceilings in the great room and formal dining room give a very spacious feel. The kitchen has wood cabinets, tile counters, pantry and bar counter. The kitchen has a skylight in the ceiling that makes this home feel light and airy. There is access to the backyard from the nook area and also in the main suite. The guest bath is a little larger than most with a combination shower/tub. The main suite has vaulted ceilings, walk-in closet and is connected to the ensuite bathroom. The ensuite bathroom has separate counters and sinks, stand alone shower and spa tub for the nights when you want to come home to relaxing jetted bath. Last but not least, Seller replaced A/C Unit in 2021. Bring your buyers and make this home a dream come true.",https://photos.zillowstatic.com/fp/b00f2583bf38636ec30142f3c20c165d-cc_ft_960.jpg https://photos.zillowstatic.com/fp/2bd758a4234d193c5a1e3030fa8df1ec-cc_ft_960.jpg https://photos.zillowstatic.com/fp/3928d3bdbab0d990b7572d6c467820bc-cc_ft_960.jpg,0.415
18786673,3,2.0,2336.0,W Tenaya Ave,Fresno,CA,"Northwest Beauty!! 2+ Acre, 3 bedroom, 2 bath suburban Property. Located close to all the amenities of living in town, but just enough privacy with a quiet country environment.Shopping, entertainment, schools and freeway access just minutes away. Open Floor Plan, perfect for large social and family gatherings. Gorgeous wood beamed vaulted ceilings invite you into a spacious Living Room accented with slate tile floor, Step down into the Family room which features a floor to ceiling, corner brick masonry fireplace. Formal dining area large enough for seating up to 12, with large wood frame double doors leading out to the patio. The Kitchen has been updated with beautiful Quartz counters, stainless steel appliances, decorator painted cabinets, large pantry big enough for small appliances, pots etc. Master Bedroom is spacious and bright with plenty of closet space. Secondary bedrooms and closets are also a good size. Guest bath newly updated with decorative floor tiles. Other Amenities include wood plank tile flooring throughout, the entire home has been freshly painted, shutters and ceiling fans in all rooms. Refreshing pebble tec pool for summer fun. Aggregate patio and multi-level decking around the pool. An abundance of fenced grassy areas in the backyard for outdoor entertaining. Pasture is fenced as well w/newer vinyl fencing. Extensive long driveway for additional parking. Property sits back off the road with beautiful Parklike mature landscape.",https://photos.zillowstatic.com/fp/c71021337e25623338ca2de0efaf26d4-cc_ft_960.jpg https://photos.zillowstatic.com/fp/0fd12a4029be51e9b62390af5a3968a5-cc_ft_960.jpg https://photos.zillowstatic.com/fp/1cb29fe39514d6959a770da6094d3db9-cc_ft_960.jpg,0.7959
18789944,3,2.0,1754.0,N Pima Ave,Fresno,CA,"Updated move in ready home located in NW Fresno, close to shopping centers, restaurants and freeway access. The newly front landscape sets the tone to this well kept home, which features two guest bedrooms, an oversized master suite, two full bathrooms, two living spaces, an expanded kitchen that flows seamlessly into both living areas and a backyard perfect for entertaining or relaxing in the cool pool.This spacious, home features recent upgrades such asnew laminate plank flooring, expanded kitchen with plenty of cabinet space, modern stainless steel appliances and new granite countertops. New interior and exterior paint, updated bathrooms, dual paine windows and can lighting. New energy efficient pool pump, newer A/C and paid off solar!This home has the space and functionality for all of your needs.",https://photos.zillowstatic.com/fp/672fd8ccd4d2e57413bf7f61dc1eb57a-cc_ft_960.jpg https://photos.zillowstatic.com/fp/658b39d1916835931d3b8f88e34c01b0-cc_ft_576.jpg https://photos.zillowstatic.com/fp/cffa948ea16b9b606c2527f63fd221a2-cc_ft_576.jpg https://photos.zillowstatic.com/fp/062fd7e9e5ecc63e1197ff789c1d2b1d-cc_ft_576.jpg https://photos.zillowstatic.com/fp/fb619f20786311809598142599490bcb-cc_ft_576.jpg,0.4399
18805276,3,3.0,1015.0,N Blackstone Ave,Fresno,CA,"This mobile home has everything you need a spacious kitchen a large living room for that growing family. This mobile has a separate bedroom for that teen or mother-in-law. Office is right off the kitchen. laundry is inside near kitchen. The outside is very spacious for when you want to entertain your friends. There is also a fenced area for someone who loves to work with their hands like crafting, wood working etc.",https://photos.zillowstatic.com/fp/b4b18a1aa28c1e9368c43fac1073cd51-cc_ft_960.jpg https://photos.zillowstatic.com/fp/ac5047418168870eed41693e226a2cf4-cc_ft_576.jpg https://photos.zillowstatic.com/fp/a60d19b6faac4d652773c747f5f59f97-cc_ft_576.jpg https://photos.zillowstatic.com/fp/c56bca75c0fe688e1bb284d689888ca9-cc_ft_576.jpg https://photos.zillowstatic.com/fp/6527ecf7493cb1529bdbbb30e572d846-cc_ft_576.jpg,0.115
18805744,3,1.0,756.0,W Daisy Dr,Fresno,CA,"Looking for a move in ready mobile home in an all ages park? This is the perfect option with new flooring, paint, and a spacious shaded backyard this is the perfect place to downsize or start your homeownership journey. Tucked in the back of the park you get the privacy and serenity you desire with the addition of a fully shaded wrap around yard full of mature fruit trees and a synthetic lawn for easy maintenance.",https://photos.zillowstatic.com/fp/2cb23530b0fd1626a18b418495c5321f-cc_ft_960.jpg https://photos.zillowstatic.com/fp/014c353c1323b6ceabd9ff10e03af2b9-cc_ft_576.jpg https://photos.zillowstatic.com/fp/cbded25c447d05cd33abaa6eed905389-cc_ft_576.jpg https://photos.zillowstatic.com/fp/a09891189112211505c1a18747840cf0-cc_ft_576.jpg https://photos.zillowstatic.com/fp/47bfb3bff3e84a5e3012cd4b884ebc70-cc_ft_576.jpg,0.069
2057123666,3,2.0,1787.0,E Robinson Ave,Fresno,CA,"Move in ready July!! Tutti waiting for you at Choral Sterling Acres.This single-level home showcases a generous open floorplan shared between the Great Room, kitchen and dining room, offering access to the covered patio through sliding glass doors. The owner's suite is situated at the back of the home, comprised of a restful bedroom, spa-like bathroom and walk-in closet. Two secondary bedrooms are situated off the entry, with a full bathroom located in between them.Prices and features may vary and are subject to change. Photos are for illustrative purposes only.",https://photos.zillowstatic.com/fp/e3ac634df134fca7bdf6d0599226371e-cc_ft_960.jpg https://photos.zillowstatic.com/fp/2cd9c8309b5caabf2aa3b98cff80e529-cc_ft_960.jpg https://photos.zillowstatic.com/fp/3401200e38402acd056c38628efe8bec-cc_ft_960.jpg,0.4523
2057728661,3,2.0,1635.0,S Filbert Ave,Fresno,CA,"Move-in Ready in June!! Olive waiting for you at Daffodil Hill - Clementine Series.This single-level home is host to a spacious open floorplan shared between the Great Room, kitchen and dining room that maximizes the footprint of the interior and promotes seamless transition between rooms. Three bedrooms offer plenty of space for the family.Prices, dimensions and features may vary and are subject to change. Photos are for illustrative purposes only.",https://photos.zillowstatic.com/fp/c310cb76539cdeacb519e78c4aea78b8-cc_ft_960.jpg https://www.zillowstatic.com/s3/hdp/home-details/images/third-party-virtual-tour/cc_ft_384.jpg https://photos.zillowstatic.com/fp/ade3fc4666a7339182369fbb9a5c1ceb-cc_ft_576.jpg https://photos.zillowstatic.com/fp/a72e5abbe3ecc3b2af002359a99936e6-cc_ft_576.jpg https://photos.zillowstatic.com/fp/c4f0255f0fd15d551e1be58750c8b3aa-cc_ft_576.jpg,0.4198
2058127244,3,2.0,1697.0,E Adena Ave,Fresno,CA,"The Cobalt is a single-story plan offering 3 bedrooms and 2 bathrooms. The formal entry to the Cobalt provides an open view through the home to the great room. The open concept floor plan of the home maximizes furnishing options for the great room, kitchen, and nook area, providing the perfect area for entertaining and everyday life. The hallway near the entry offers a conveniently placed linen closet for additional storage and provides access to the laundry room and the Primary Suite, located in the back of the house. The Primary Suite bath features an oversized vanity and a compartmentalized lavatory for additional privacy. There's storage space to spare in the Primary Suite with a spacious walk-in wardrobe plus a separate linen closet. Two secondary bedrooms with a shared hall bath are located towards the front of the home.This home is currently under construction, and features the following options and upgrades:    White cabinetry    Double pull-out drawers in kitchen    Trash pull-out in kitchen    White quartz counters throughout    Hard surface flooring in main living areas    And more!Located on lot 13 at Olivewood by Century Communities",https://photos.zillowstatic.com/fp/f60f57bee101f4542c01e6daf353c9cb-cc_ft_960.jpg https://photos.zillowstatic.com/fp/236bde282d05205e8043cf62aac37b82-cc_ft_576.jpg https://photos.zillowstatic.com/fp/d9bfb4be3cfae6121673d9ccaf4662a4-cc_ft_576.jpg https://photos.zillowstatic.com/fp/f60f57bee101f4542c01e6daf353c9cb-cc_ft_960.jpg https://photos.zillowstatic.com/fp/236bde282d05205e8043cf62aac37b82-cc_ft_960.jpg,0.493205
2077441398,3,2.0,1600.0,Ashlan Avenue,Fresno,CA,"Virtually new Manufactured home with maintenance free landscaping located in a quiet cul-de-sac street in the community of Westlake Park. Manufactured in 2022, the process of what it takes to get this new home planned and set up is no quick and easy feat, but here it is. It's done and ready for you. Before we go into this home, can we just give notice to the new landscaping and artificial turf. Walking around this lot, I can say pictures do not do it justice. This model-like home offers 1600 sq ft, with spacious 3 bedrooms, all with walk in closets. Two full bathrooms, a laundry room that's off the kitchen. This kitchen includes ample workspace and all stainless-steel appliances. Also, the seller is including the Wash/Dryer and Refrigerator.  We have Granite counters throughout. In the Primary Bedroom and Bath the seller has added some personal touches to make it just a little more special, such as the added glass block around the shower and the shelving. And let's not forget the living room and dining that you see when you walk through the front door. The stunning coffered ceiling cannot be ignored. This home is really move in ready... and I can say that because the seller is including all of the large pieces of furniture. Qualified buyers will learn more about that at their scheduled showing appointments. 
This 55+ Community has gated and camera security with overnight patrol watch. The club houses are available for activities and events. It offers large kitchens and space for parties, plus some different game rooms. There's a fitness center, 2 hot tubs, saunas, grilling areas at the 2 separate heated pools the residents can enjoy. Within the park there is also RV storage, a car wash, an extra laundry facility, and nicely landscaped and tree lined dog walking trails. This home and community offers that lifestyle that the definition of simplicity was based on. Entry to community and home is available by appointment only.",https://photos.zillowstatic.com/fp/fee0e6baad52744a8144cffd109f93b7-cc_ft_960.jpg https://photos.zillowstatic.com/fp/d27149f7fbc433372da9687bebd20997-cc_ft_576.jpg https://photos.zillowstatic.com/fp/152899ecee8981bab3862afa6077338b-cc_ft_576.jpg https://photos.zillowstatic.com/fp/f1a12cd6926f21f03642d96441533707-cc_ft_576.jpg https://photos.zillowstatic.com/fp/ebec649a4b9439683f10dc61e12b4a33-cc_ft_576.jpg,0.2749
2137868547,3,2.0,1150.0,S Argyle Ave,Fresno,CA,"Well taken care of Gated secluded condo with private entrance, almost 100% Owner occupied complex.",https://photos.zillowstatic.com/fp/666766c1ebfa592a811d79eae63390ae-cc_ft_960.jpg https://photos.zillowstatic.com/fp/dbebdac2c2815f54861bb427bb9d1ca9-cc_ft_576.jpg https://photos.zillowstatic.com/fp/7193567ac423061ce68f4f2f8162260d-cc_ft_576.jpg https://photos.zillowstatic.com/fp/eb609fb59c4d5dcae4ea6ab07c8242b1-cc_ft_576.jpg https://photos.zillowstatic.com/fp/5c16a75df29f7b3d5c405af7dc332012-cc_ft_576.jpg,0.249
333846995,3,2.0,802.0,W Olive,Fresno,CA,"Introducing a brand new 3-bedroom, 2-full bath manufactured home with an array of desirable features. Step into your new home and experience the modern comforts it has to offer. As you enter, you'll notice the fresh, untouched beauty of this never-lived-in home. With new kitchen appliances for a well-equipped kitchen, your daily tasks are made easier and more enjoyable. Comfort is key, and this home delivers with central heat and air conditioning. No matter the season, you can maintain the perfect temperature indoors. Say goodbye to extremes and embrace year-round coziness. Laundry chores are made convenient with indoor laundry hookups. You can easily install your own washer and dryer, but if you don't have them, fret not. A community laundry facility is available for your use, ensuring that clean clothes are always within reach. The affordability of this home is remarkable, with a monthly space rent of just $500 to include: water, trash, and sewage. Conveniently located, this home offers close access to gas and convenience stores, freeway, and schools. Close to Fresno Chaffee Zoo and Roading Park for a day of fun. Everything you need is within reach, making your daily life a breeze. Don't miss out on this opportunity to embrace affordable, comfortable living in a brand-new manufactured home. Schedule a showing today and take the first step toward a brighter future.",https://photos.zillowstatic.com/fp/41e9cca3da9066ae650d708000f01a82-cc_ft_960.jpg https://photos.zillowstatic.com/fp/75b5f422355391acaf4ae21b845680d5-cc_ft_576.jpg https://photos.zillowstatic.com/fp/c7000784571f4c747f60488ec406968e-cc_ft_576.jpg https://photos.zillowstatic.com/fp/1d5c861070d69bdccd10158832f782eb-cc_ft_576.jpg https://photos.zillowstatic.com/fp/6d7e8f743ad08e094a4c20b83c5e798a-cc_ft_576.jpg,0.119
59371590,3,2.0,1458.0,E Emilie Ave,Fresno,CA,"Location! Location! Location! Charming 3-bedroom house in desirable NE Fresno is move-in ready. A short walk to Granite Ridge Intermediate, Clovis North High School, Clovis community college, parks, trails and more. The spacious living room is surrounded by garden greens bringing the outside in. Beautiful backyard is designed with a covered area for entertaining and a large, gated pet oasis for your furry pets. The cozy master suite offers a walk-in closet and large private bathroom with dual sinks and the perfect tub for soaking. It's a Must See.",https://photos.zillowstatic.com/fp/5a634c71239b36d994b61b8dc5656a38-cc_ft_960.jpg https://photos.zillowstatic.com/fp/8f8e321b730caa8fe1de9762d4a8c9a0-cc_ft_576.jpg https://photos.zillowstatic.com/fp/3ae204498168386f93282e60944f2cc8-cc_ft_576.jpg https://photos.zillowstatic.com/fp/b627416ae4b105d01abb9d27b6e475e4-cc_ft_576.jpg https://photos.zillowstatic.com/fp/749f356332422449ad824ba03d253408-cc_ft_576.jpg,0.44
61496542,3,2.0,1540.0,W Lamona Avenue,Fresno,CA,"Move in ready home in Fresno. Located West of the hustle and bustle is this 3 bedroom 2 bathroom home. The property features mature landscaping and a welcoming front porch. Inside the home is a foyer with coat closet. Walking into the living room you will notice tall ceilings and a cozy fireplace for chilly evenings. The sliding glass door gives access to the backyard. In the kitchen is plenty of counter space for prep and entertaining as well as a breakfast bar. The dining space is right off of the kitchen, great for helping kids with school work while prepping dinner.  An indoor laundry room is right off the kitchen that leads into the 2 car garage. Down the arched hallway are 2 guest bedrooms with a guest bathroom as well as the master bedroom. The master bedroom has a large window to let in natural light and an attached bathroom with dual vanities and large closet. The backyard  has a finished patio that overlooks the backyard grassy area. There us a small walkway that leads to a side yard as well as a great space for a garden. Call for a private showing!",https://photos.zillowstatic.com/fp/a918537b0b2f5c58f5d72973208c4196-cc_ft_960.jpg https://photos.zillowstatic.com/fp/229423d077d3b4d4804e907a273849b1-cc_ft_576.jpg https://photos.zillowstatic.com/fp/e10ffcb495f90b5663cc10311f2c2616-cc_ft_576.jpg https://photos.zillowstatic.com/fp/05e1213c823281e1f549a7aa213d7f51-cc_ft_576.jpg https://photos.zillowstatic.com/fp/3d9cb938a9e88ccee8d66040ab5bd66a-cc_ft_576.jpg,0.395
